Utility,State,Rep,Team Code,Rate,Zone,Product,Service Class,Start Date,Cut Off Date,Annual_usage_Min,Annual_usage_Max,Sales Tax,Marketing Adder,Logistics,Energy Only Adder,Term,Max Adder
ACE,NJ,Liberty Power,AFF,0.0876,AECO,Electricity,AGS,11/1/2018,1/27/2018,250001,500000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.08807,AECO,Electricity,AGS,10/1/2018,1/27/2018,250001,500000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.08855,AECO,Electricity,AGS,9/1/2018,1/27/2018,250001,500000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.08898,AECO,Electricity,AGS,8/1/2018,1/27/2018,500001,2000000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.08901,AECO,Electricity,AGS,8/1/2018,1/27/2018,250001,500000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09215,AECO,Electricity,AGS,12/1/2018,1/27/2018,100001,250000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09195,AECO,Electricity,AGS,2/1/2018,1/27/2018,250001,500000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09322,AECO,Electricity,MGS,1/1/2019,1/27/2018,500001,2000000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09302,AECO,Electricity,AGS,11/1/2018,1/27/2018,50001,100000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09409,AECO,Electricity,Default,11/1/2018,1/27/2018,500001,2000000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09425,AECO,Electricity,AGS,6/1/2018,1/27/2018,100001,250000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09456,AECO,Electricity,MGS,10/1/2018,1/27/2018,500001,2000000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.0947,AECO,Electricity,AGS,4/1/2018,1/27/2018,100001,250000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09509,AECO,Electricity,AGS,5/1/2018,1/27/2018,50001,100000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09612,AECO,Electricity,Default,7/1/2018,1/27/2018,500001,2000000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09739,AECO,Electricity,Default,4/1/2018,1/27/2018,500001,2000000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09769,AECO,Electricity,Default,8/1/2018,1/27/2018,250001,500000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09822,AECO,Electricity,MGS,7/1/2018,1/27/2018,250001,500000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09366,AECO,Electricity,AGS,11/1/2018,1/27/2018,25001,50000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09991,AECO,Electricity,MGS,3/1/2018,1/27/2018,250001,500000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09479,AECO,Electricity,AGS,8/1/2018,1/27/2018,25001,50000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.10087,AECO,Electricity,MGS,2/1/2018,1/27/2018,250001,500000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.10253,AECO,Electricity,Default,1/1/2019,1/27/2018,100001,250000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.08716,AECO,Electricity,AGS,12/1/2018,1/27/2018,250001,500000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.08758,AECO,Electricity,AGS,11/1/2018,1/27/2018,500001,2000000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09099,AECO,Electricity,AGS,3/1/2018,1/27/2018,250001,500000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09339,AECO,Electricity,AGS,10/1/2018,1/27/2018,50001,100000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09364,AECO,Electricity,Default,12/1/2018,1/27/2018,500001,2000000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09409,AECO,Electricity,MGS,11/1/2018,1/27/2018,500001,2000000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09414,AECO,Electricity,AGS,8/1/2018,1/27/2018,50001,100000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09507,AECO,Electricity,Default,9/1/2018,1/27/2018,500001,2000000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09507,AECO,Electricity,MGS,9/1/2018,1/27/2018,500001,2000000,0.06875,0.005,0,0,24,0.05
ACE,NJ,Liberty Power,AFF,0.09574,AECO,Electricity,Default,12/1/2018,1/27/2018,250001,500000,0.06875,0.005,0,0,24,0.05
